Model,n,Variable,Estimate,Standard Error,DF,t-value,p-value,Adjusted p-value
Paraplegia: AIS A,1086,Intercept,39.967,1.062,1134.421,37.638,0.000,0.000
,,Age,-25.712,1.767,1053.448,-14.553,0.000,0.000
,,Time since injury,41.850,0.798,2761.804,52.434,0.000,0.000
,,Sex,2.221,0.868,1043.709,2.560,0.011,0.085
Paraplegia: AIS B,280,Intercept,45.602,2.280,279.492,20.002,0.000,0.000
,,Age,-25.061,3.846,251.578,-6.516,0.000,0.000
,,Time since injury,45.431,1.705,670.751,26.653,0.000,0.000
,,Sex,2.139,1.847,246.992,1.158,0.248,
Paraplegia: AIS C,351,Intercept,55.316,2.244,370.954,24.651,0.000,0.000
,,Age,-36.269,3.483,340.547,-10.414,0.000,0.000
,,Time since injury,45.278,1.708,841.697,26.510,0.000,0.000
,,Sex,2.496,1.705,323.889,1.464,0.144,
Paraplegia: AIS D,482,Intercept,72.508,2.394,454.322,30.285,0.000,0.000
,,Age,-37.528,3.607,415.531,-10.404,0.000,0.000
,,Time since injury,43.567,1.707,941.121,25.520,0.000,0.000
,,Sex,0.490,1.713,400.882,0.286,0.775,
Tetraplegia: AIS A,778,Intercept,16.239,1.409,790.327,11.524,0.000,0.000
,,Age,-11.205,1.998,772.660,-5.608,0.000,0.000
,,Time since injury,24.747,0.655,1760.688,37.805,0.000,0.000
,,Sex,0.426,1.122,753.323,0.380,0.704,
Tetraplegia: AIS B,284,Intercept,20.327,2.418,304.671,8.407,0.000,0.000
,,Age,-17.358,3.713,301.383,-4.675,0.000,0.000
,,Time since injury,36.521,1.440,695.945,25.365,0.000,0.000
,,Sex,0.660,1.916,290.584,0.345,0.731,
Tetraplegia: AIS C,525,Intercept,37.907,2.268,569.626,16.711,0.000,0.000
,,Age,-37.859,3.110,547.327,-12.172,0.000,0.000
,,Time since injury,44.444,1.339,1262.868,33.205,0.000,0.000
,,Sex,-0.474,1.591,550.400,-0.298,0.766,
Tetraplegia: AIS D,913,Intercept,67.072,2.577,933.335,26.031,0.000,0.000
,,Age,-43.266,3.491,892.435,-12.395,0.000,0.000
,,Time since injury,54.127,1.448,1924.450,37.375,0.000,0.000
,,Sex,-1.583,1.692,884.479,-0.936,0.350,
