"Model","n","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A",218,"Intercept",43.9256,2.4158,334.0653,18.183,0,0
"",218,"Age",-27.4724,3.315,208.7344,-8.2872,0,0
"",218,"Time",37.1961,3.9235,523.8012,9.4803,0,0
"",218,"YEARDOI",-4.6025,3.3968,392.7371,-1.355,0.1762,2.8194
"",218,"Time*YEARDOI",4.3642,6.7551,539.9066,0.6461,0.5185,8.2962
"Female: Paraplegia: AIS B",73,"Intercept",51.3651,4.4768,87.8354,11.4736,0,0
"",73,"Age",-24.7927,6.7988,59.2612,-3.6466,6e-04,0.009
"",73,"Time",52.2739,6.4937,167.2586,8.05,0,0
"",73,"YEARDOI",-10.2887,5.7937,115.3872,-1.7758,0.0784,1.2543
"",73,"Time*YEARDOI",-16.8205,11.2504,175.1861,-1.4951,0.1367,2.187
"Female: Paraplegia: AIS C",98,"Intercept",65.0405,4.7,135.1548,13.8384,0,0
"",98,"Age",-45.3442,6.0133,103.2448,-7.5407,0,0
"",98,"Time",54.288,6.5107,228.2065,8.3382,0,0
"",98,"YEARDOI",-8.91,6.0896,161.6917,-1.4632,0.1454,2.3259
"",98,"Time*YEARDOI",-22.9028,11.3129,235.0844,-2.0245,0.0441,0.7048
"Female: Paraplegia: AIS D",138,"Intercept",81.8917,5.5536,148.5316,14.7457,0,0
"",138,"Age",-43.5827,6.6289,111.6405,-6.5746,0,0
"",138,"Time",39.9234,7.3409,238.7171,5.4385,0,0
"",138,"YEARDOI",-10.0576,6.8281,177.8673,-1.473,0.1425,2.2804
"",138,"Time*YEARDOI",5.1889,12.4246,267.7598,0.4176,0.6765,10.8248
"Female: Tetraplegia: AIS A",157,"Intercept",19.9749,2.986,180.3459,6.6895,0,0
"",157,"Age",-12.2382,4.4254,158.9991,-2.7654,0.0064,0.1017
"",157,"Time",17.4676,2.7984,355.4482,6.242,0,0
"",157,"YEARDOI",-4.4075,3.977,199.9523,-1.1083,0.2691,4.3053
"",157,"Time*YEARDOI",8.2434,5.28,366.7906,1.5613,0.1193,1.9092
"Female: Tetraplegia: AIS B",63,"Intercept",19.9838,5.1578,67.2593,3.8745,2e-04,0.0039
"",63,"Age",-13.0811,7.9177,55.7419,-1.6521,0.1041,1.6661
"",63,"Time",29.8053,5.1162,134.7037,5.8256,0,0
"",63,"YEARDOI",-1.2594,6.0489,79.0158,-0.2082,0.8356,13.3697
"",63,"Time*YEARDOI",6.72,9.5608,137.994,0.7029,0.4833,7.7331
"Female: Tetraplegia: AIS C",131,"Intercept",37.3856,4.5569,158.7714,8.2041,0,0
"",131,"Age",-29.4342,5.5974,128.0499,-5.2585,0,0
"",131,"Time",40.9866,5.5278,295.7863,7.4147,0,0
"",131,"YEARDOI",-7.2494,5.6019,201.0038,-1.2941,0.1971,3.1538
"",131,"Time*YEARDOI",4.3112,9.5515,307.4471,0.4514,0.652,10.4327
"Female: Tetraplegia: AIS D",213,"Intercept",75.167,6.247,238.7849,12.0325,0,0
"",213,"Age",-49.4235,7.3679,211.1905,-6.708,0,0
"",213,"Time",50.6304,7.4356,388.5399,6.8091,0,0
"",213,"YEARDOI",-5.3182,6.4981,287.507,-0.8184,0.4138,6.6207
"",213,"Time*YEARDOI",-2.1086,11.5688,400.8144,-0.1823,0.8555,13.6874
