"Model","Variable","Estimate","Standard Error","DF","t-value","p-value","Adjusted p-value"
"Female: Paraplegia: AIS A","Intercept",0.4379,0.6116,282.6264,0.716,0.4746,7.5933
"","Age",-1.6878,0.9076,226.8945,-1.8597,0.0642,1.0275
"","Time",1.1005,0.6817,491.5528,1.6145,0.1071,1.7131
"","YEARDOI",1.0472,0.8331,312.012,1.257,0.2097,3.3548
"","Time*YEARDOI",2.0289,1.197,503.464,1.6949,0.0907,1.4513
"Female: Paraplegia: AIS B","Intercept",3.7088,1.4992,78.7838,2.4739,0.0155,0.2482
"","Age",-3.4883,2.3358,65.3069,-1.4934,0.1401,2.2424
"","Time",11.6781,1.5133,156.9859,7.717,0,0
"","YEARDOI",-1.4171,1.8726,90.9847,-0.7567,0.4512,7.2185
"","Time*YEARDOI",-7.9489,2.6646,163.2624,-2.9832,0.0033,0.0526
"Female: Paraplegia: AIS C","Intercept",6.9328,1.354,131.9978,5.1201,0,0
"","Age",-8.0781,1.749,100.8966,-4.6187,0,2e-04
"","Time",16.7175,1.8202,225.1087,9.1842,0,0
"","YEARDOI",-2.0409,1.7351,152.7737,-1.1763,0.2413,3.861
"","Time*YEARDOI",-9.8725,3.1554,228.7048,-3.1287,0.002,0.0317
"Female: Paraplegia: AIS D","Intercept",13.1072,1.8748,150.0055,6.9913,0,0
"","Age",-10.2091,2.2533,125.6478,-4.5306,0,2e-04
"","Time",10.8838,2.199,223.1731,4.9494,0,0
"","YEARDOI",-0.4661,2.249,171.4608,-0.2073,0.836,13.3767
"","Time*YEARDOI",0.2985,3.7701,250.9659,0.0792,0.937,14.9914
"Female: Tetraplegia: AIS A","Intercept",0.003,0.4051,227.8231,0.0074,0.9941,15.9062
"","Age",0.3912,0.5741,177.498,0.6814,0.4965,7.9439
"","Time",1.316,0.5348,400.8363,2.4605,0.0143,0.2287
"","YEARDOI",-0.2591,0.553,272.7425,-0.4686,0.6397,10.2352
"","Time*YEARDOI",-0.8593,1.0008,415.2081,-0.8587,0.391,6.2563
"Female: Tetraplegia: AIS B","Intercept",0.9001,1.015,75.4038,0.8868,0.378,6.0484
"","Age",-1.1919,1.4933,50.6635,-0.7982,0.4285,6.8559
"","Time",0.6535,1.372,144.2296,0.4763,0.6346,10.1536
"","YEARDOI",-0.8769,1.2278,95.4171,-0.7142,0.4768,7.6294
"","Time*YEARDOI",9.2279,2.5912,153.0278,3.5613,5e-04,0.0079
"Female: Tetraplegia: AIS C","Intercept",4.2015,1.1359,172.3744,3.6988,3e-04,0.0047
"","Age",-5.5682,1.4107,131.7214,-3.9471,1e-04,0.002
"","Time",9.1198,1.4738,313.3782,6.1881,0,0
"","YEARDOI",-0.418,1.4236,217.286,-0.2936,0.7693,12.3092
"","Time*YEARDOI",-1.6139,2.5963,328.2363,-0.6216,0.5346,8.5538
"Female: Tetraplegia: AIS D","Intercept",13.5408,1.6598,240.4611,8.158,0,0
"","Age",-11.2549,1.9564,207.8452,-5.7528,0,0
"","Time",13.8462,2.125,403.4482,6.5158,0,0
"","YEARDOI",-0.298,1.7224,292.4049,-0.173,0.8628,13.8044
"","Time*YEARDOI",-1.3744,3.2494,412.907,-0.423,0.6725,10.7606
"Male: Paraplegia: AIS A","Intercept",0.5494,0.3103,1013.7561,1.7706,0.0769,1.2309
"","Age",-0.8433,0.5543,870.0686,-1.5215,0.1285,2.056
"","Time",1.8144,0.3288,2039.7911,5.5179,0,0
